Socio-Economic Baseline Data: Latin America region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socio-Economic Baseline Data: Latin America region,,,,,,,,,,,,,,,
,Population and Human Development,,,,,,Economic Conditions,,,,,Land Cover / Use,,,,,Water,,,,,Agriculture / Food,,,,,,,,,Energy,,,Biodiversity,,,,,,,,,,
Guatemala,10621,98,199,4404,780,2247,25.16,19.45,55.4,4,10843,1880,2602,5813,548,10922,9,17,74,125,1435,2901,2210,440,78,720,165,X,X,72,103649,6.92,250,3,669,1,"8,000","1,171",,,,,,
Guyana,835,4,5,302,213,X,X,X,X,7.9,19685,496,1230,16500,1459,288623,1,0,99,130,66,311,190,131,79,50,3,X,X,15,4370,0.02,193,1,737,0,"6,000",X,,,,,,
Honduras,5654,50,95,2482,583,1385,19.73,30.35,49.91,3.9,11189,2015,1533,6000,1641,11216,4,5,91,74,952,1788,2286,14,28,603,269,X,X,43,58138,8.15,173,1,684,1,"5,000",148,,,,,,
Mexico,93674,48,70,70535,6529,6253,8.45,28.38,63.17,0.4,190869,24730,74499,48700,42940,3815,6,8,86,6100,8962,31885,30702,5905,10450,18000,12611,X,X,4941,248036,93.65,450,140,"1,026",89,"25,000","12,500",,,,,,
Nicaragua,4433,34,70,2787,1166,X,30.31,20.19,49.5,-1.1,11875,1270,5500,3200,1905,39477,25,21,54,88,418,1206,1650,4,6,535,301,X,X,52,38877,1.11,200,2,750,0,"7,000",40,,,,,,
Panama,2631,35,50,1401,989,3332,10.16,18.28,71.56,5.8,7443,660,1490,3260,2033,54732,12,11,77,32,219,945,1437,0,5,295,161,X,X,61,16157,8.26,218,14,929,8,"9,000","1,222",,,,,,
Paraguay,4960,12,22,2613,X,2178,26.4,20.9,52.7,3.7,39730,2270,21700,12850,2910,63306,15,7,78,67,719,1581,8000,386,122,3300,415,X,X,51,54999,113.08,305,2,600,0,"7,500",X,,,,,,
Peru,23780,19,29,17175,6975,2092,11,43.18,45.82,6.5,128000,3430,27120,84800,12650,1682,19,9,72,1280,2523,7612,4000,11600,1713,2405,1414,X,X,314,87615,41.09,344,45,"1,678",109,"17,121","5,356",,,,,,
Suriname,423,3,4,213,140,X,22.05,24.24,53.71,0,15600,68,21,15000,511,472813,6,5,89,60,24,157,98,9,9,37,0,1,X,24,1225,4.06,180,0,673,0,"4,700",X,,,,,,
Uruguay,3186,18,21,2877,1511,5185,9.03,27.27,63.71,1.1,17481,1304,13520,930,1727,38920,6,3,91,140,160,1230,10316,23441,15,230,484,X,X,77,28176,26.27,81,1,365,0,"2,184",40,,,,,,
Venezuela,21844,24,38,20281,5158,7082,5.04,41.91,53.05,-1,88205,3915,17800,30000,36490,60291,43,11,46,190,732,7440,15071,550,1850,2250,1007,X,X,2083,21878,170.9,305,16,"1,296",42,"20,000","8,000",,,,,,
Note: 0 = zero or less than half the unit of measure; X not available; total water withdrawals may exceed 100% due to groundwater drawdowns or river inflows; all plant species includes flowering plants only; '85IN$ = 1985 international dollars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
